review_id,product_id,customer_id,rating,comment,review_date
1,12,45,5,"Great quality, very satisfied",2024-02-14
2,7,102,4,"Works well, fast delivery",2024-03-05
3,19,88,3,"Average performance",2024-01-22
4,3,67,5,"Exceeded expectations",2024-04-10
5,25,134,2,"Not worth the price",2024-02-28
6,11,56,4,"Good but could be cheaper",2024-05-12
7,8,149,5,"Highly recommended",2024-03-11
8,14,93,4,"Good build quality",2024-01-29
9,4,21,3,"Okay for the price",2024-03-22
10,30,178,5,"Amazing product!",2024-04-18
11,2,44,1,"Stopped working in a week",2024-02-07
12,16,199,4,"Decent and reliable",2024-05-05
13,29,112,5,"Perfect, exactly as described",2024-04-26
14,10,84,3,"Nothing special",2024-03-02
15,6,33,4,"Good performance overall",2024-02-19
16,21,66,5,"Loved it!",2024-04-09
17,9,71,4,"Happy with the purchase",2024-05-01
18,13,145,2,"Not durable",2024-01-16
19,22,57,4,"Pretty good",2024-03-12
20,27,164,5,"Fantastic item",2024-04-14
21,1,138,3,"Meets basic needs",2024-02-05
22,5,82,4,"Worth buying",2024-03-20
23,18,49,5,"Superb",2024-05-09
24,23,108,2,"Unsatisfactory quality",2024-01-27
25,17,153,4,"Good product",2024-04-07
26,20,201,5,"Absolutely great",2024-03-30
27,28,92,4,"Working fine",2024-02-21
28,26,135,3,"Mediocre experience",2024-05-03
29,15,60,5,"Exactly what I needed",2024-04-11
30,7,111,2,"Not as advertised",2024-01-31
31,12,95,4,"Pretty decent",2024-03-13
32,9,122,5,"Love the quality",2024-04-22
33,14,204,4,"Solid product",2024-05-16
34,6,79,3,"Could be better",2024-02-10
35,10,154,5,"Amazing performance",2024-03-27
36,3,142,1,"Terrible product",2024-01-14
37,11,203,4,"Fair for the price",2024-04-03
38,24,130,5,"Really good",2024-02-25
39,22,166,4,"Happy with this",2024-03-17
40,4,63,3,"Standard quality",2024-01-20
41,25,171,2,"Low quality",2024-04-19
42,8,118,5,"Fantastic purchase",2024-05-11
43,19,98,4,"Good experience",2024-03-04
44,16,47,5,"High value",2024-04-21
45,1,126,3,"Just okay",2024-01-26
46,30,187,4,"Useful and good",2024-05-14
47,29,174,5,"Loved this item",2024-03-25
48,18,91,2,"Not sturdy enough",2024-02-03
49,13,59,4,"Solid performance",2024-04-15
50,27,205,5,"Best purchase this month",2024-05-08
